Measurement: ritardo_rise
  step	ritardo_rise	FROM	TO
     1	2.09312e-10	2.0015e-08	2.02243e-08
     2	2.03877e-10	2.0015e-08	2.02189e-08
     3	1.99173e-10	2.0015e-08	2.02142e-08
     4	1.94102e-10	2.0015e-08	2.02091e-08
     5	1.90426e-10	2.0015e-08	2.02054e-08
     6	1.86164e-10	2.0015e-08	2.02012e-08
     7	1.79855e-10	2.0015e-08	2.01949e-08
     8	1.81676e-10	2.0015e-08	2.01967e-08
     9	1.71068e-10	2.0015e-08	2.01861e-08
    10	1.66795e-10	2.0015e-08	2.01818e-08
    11	1.62837e-10	2.0015e-08	2.01778e-08
    12	1.59434e-10	2.0015e-08	2.01744e-08
    13	1.59201e-10	2.0015e-08	2.01742e-08
