Measurement: ritardo_rise
  step	ritardo_rise	FROM	TO
     1	1.9996e-10	2.0015e-08	2.0215e-08
     2	1.98524e-10	2.0015e-08	2.02135e-08
     3	1.9531e-10	2.0015e-08	2.02103e-08
     4	1.83039e-10	2.0015e-08	2.0198e-08
     5	1.94546e-10	2.0015e-08	2.02095e-08
     6	2.11031e-10	2.0015e-08	2.0226e-08
     7	1.69619e-10	2.0015e-08	2.01846e-08
     8	1.90623e-10	2.0015e-08	2.02056e-08
     9	1.79525e-10	2.0015e-08	2.01945e-08
    10	1.62242e-10	2.0015e-08	2.01772e-08
    11	1.6866e-10	2.0015e-08	2.01837e-08
    12	1.47188e-10	2.0015e-08	2.01622e-08
    13	1.59627e-10	2.0015e-08	2.01746e-08
