Measurement: ritardo_rise
  step	ritardo_rise	FROM	TO
     1	2.34147e-10	2.0015e-08	2.02491e-08
     2	1.64471e-10	2.0015e-08	2.01795e-08
     3	1.76447e-10	2.0015e-08	2.01914e-08
     4	1.69278e-10	2.0015e-08	2.01843e-08
     5	1.78486e-10	2.0015e-08	2.01935e-08
     6	1.85144e-10	2.0015e-08	2.02001e-08
     7	2.16376e-10	2.0015e-08	2.02314e-08
     8	1.66312e-10	2.0015e-08	2.01813e-08
     9	1.61476e-10	2.0015e-08	2.01765e-08
    10	1.77119e-10	2.0015e-08	2.01921e-08
    11	1.77592e-10	2.0015e-08	2.01926e-08
    12	1.94184e-10	2.0015e-08	2.02092e-08
    13	2.08386e-10	2.0015e-08	2.02234e-08
    14	1.90879e-10	2.0015e-08	2.02059e-08
    15	1.59505e-10	2.0015e-08	2.01745e-08
    16	1.9256e-10	2.0015e-08	2.02076e-08
    17	2.55304e-10	2.0015e-08	2.02703e-08
    18	1.68422e-10	2.0015e-08	2.01834e-08
    19	1.75254e-10	2.0015e-08	2.01903e-08
    20	1.80639e-10	2.0015e-08	2.01956e-08
    21	1.66762e-10	2.0015e-08	2.01818e-08
    22	1.66432e-10	2.0015e-08	2.01814e-08
    23	1.72485e-10	2.0015e-08	2.01875e-08
    24	1.77776e-10	2.0015e-08	2.01928e-08
    25	2.21917e-10	2.0015e-08	2.02369e-08
    26	2.02274e-10	2.0015e-08	2.02173e-08
    27	1.77852e-10	2.0015e-08	2.01929e-08
    28	1.80163e-10	2.0015e-08	2.01952e-08
    29	1.73776e-10	2.0015e-08	2.01888e-08
    30	1.74795e-10	2.0015e-08	2.01898e-08
    31	1.72932e-10	2.0015e-08	2.01879e-08
    32	1.72971e-10	2.0015e-08	2.0188e-08
    33	1.71761e-10	2.0015e-08	2.01868e-08
    34	1.66173e-10	2.0015e-08	2.01812e-08
    35	1.86227e-10	2.0015e-08	2.02012e-08
    36	1.6163e-10	2.0015e-08	2.01766e-08
    37	1.65807e-10	2.0015e-08	2.01808e-08
    38	1.70444e-10	2.0015e-08	2.01854e-08
    39	1.79451e-10	2.0015e-08	2.01945e-08
    40	2.48494e-10	2.0015e-08	2.02635e-08
    41	1.81054e-10	2.0015e-08	2.01961e-08
    42	1.9164e-10	2.0015e-08	2.02066e-08
    43	1.95583e-10	2.0015e-08	2.02106e-08
    44	1.58687e-10	2.0015e-08	2.01737e-08
    45	1.75852e-10	2.0015e-08	2.01909e-08
    46	1.70558e-10	2.0015e-08	2.01856e-08
    47	1.79747e-10	2.0015e-08	2.01947e-08
    48	2.75538e-10	2.0015e-08	2.02905e-08
    49	1.72735e-10	2.0015e-08	2.01877e-08
    50	1.72321e-10	2.0015e-08	2.01873e-08
    51	1.684e-10	2.0015e-08	2.01834e-08
    52	1.98389e-10	2.0015e-08	2.02134e-08
    53	1.80719e-10	2.0015e-08	2.01957e-08
    54	2.00283e-10	2.0015e-08	2.02153e-08
    55	1.9091e-10	2.0015e-08	2.02059e-08
    56	3.13368e-10	2.0015e-08	2.03284e-08
    57	1.78433e-10	2.0015e-08	2.01934e-08
    58	1.66957e-10	2.0015e-08	2.0182e-08
    59	1.66854e-10	2.0015e-08	2.01819e-08
    60	1.70351e-10	2.0015e-08	2.01854e-08
    61	1.8134e-10	2.0015e-08	2.01963e-08
    62	1.65071e-10	2.0015e-08	2.01801e-08
    63	1.67517e-10	2.0015e-08	2.01825e-08
    64	1.70918e-10	2.0015e-08	2.01859e-08
    65	2.22268e-10	2.0015e-08	2.02373e-08
    66	1.77379e-10	2.0015e-08	2.01924e-08
    67	1.83013e-10	2.0015e-08	2.0198e-08
    68	1.68286e-10	2.0015e-08	2.01833e-08
    69	1.77227e-10	2.0015e-08	2.01922e-08
    70	1.88342e-10	2.0015e-08	2.02033e-08
    71	1.63186e-10	2.0015e-08	2.01782e-08
    72	1.61118e-10	2.0015e-08	2.01761e-08
    73	1.79912e-10	2.0015e-08	2.01949e-08
    74	1.77458e-10	2.0015e-08	2.01925e-08
    75	1.8535e-10	2.0015e-08	2.02003e-08
    76	1.81223e-10	2.0015e-08	2.01962e-08
    77	1.73588e-10	2.0015e-08	2.01886e-08
    78	1.60545e-10	2.0015e-08	2.01755e-08
    79	2.19368e-10	2.0015e-08	2.02344e-08
    80	1.71815e-10	2.0015e-08	2.01868e-08
    81	1.68278e-10	2.0015e-08	2.01833e-08
    82	2.40991e-10	2.0015e-08	2.0256e-08
    83	1.76573e-10	2.0015e-08	2.01916e-08
    84	1.72173e-10	2.0015e-08	2.01872e-08
    85	1.79316e-10	2.0015e-08	2.01943e-08
    86	1.90675e-10	2.0015e-08	2.02057e-08
    87	2.02013e-10	2.0015e-08	2.0217e-08
    88	1.97829e-10	2.0015e-08	2.02128e-08
    89	1.77728e-10	2.0015e-08	2.01927e-08
    90	1.69832e-10	2.0015e-08	2.01848e-08
    91	1.76388e-10	2.0015e-08	2.01914e-08
    92	1.65815e-10	2.0015e-08	2.01808e-08
    93	1.64706e-10	2.0015e-08	2.01797e-08
    94	1.80658e-10	2.0015e-08	2.01957e-08
    95	1.97358e-10	2.0015e-08	2.02124e-08
    96	1.70234e-10	2.0015e-08	2.01852e-08
    97	1.80732e-10	2.0015e-08	2.01957e-08
    98	1.75603e-10	2.0015e-08	2.01906e-08
    99	1.71071e-10	2.0015e-08	2.01861e-08
   100	1.84831e-10	2.0015e-08	2.01998e-08
   101	1.82478e-10	2.0015e-08	2.01975e-08
   102	1.62653e-10	2.0015e-08	2.01777e-08
   103	2.05353e-10	2.0015e-08	2.02204e-08
   104	2.8139e-10	2.0015e-08	2.02964e-08
   105	1.81301e-10	2.0015e-08	2.01963e-08
   106	1.83092e-10	2.0015e-08	2.01981e-08
   107	1.71231e-10	2.0015e-08	2.01862e-08
   108	1.80689e-10	2.0015e-08	2.01957e-08
