Measurement: energia2
  step	INTEG(v(supply)*i(V1))	FROM	TO
     1	-6.73973e-14	1.8e-08	3.3e-08
     2	-6.79984e-14	1.8e-08	3.3e-08
     3	-6.86433e-14	1.8e-08	3.3e-08
     4	-6.94613e-14	1.8e-08	3.3e-08
     5	-7.0339e-14	1.8e-08	3.3e-08
     6	-7.13303e-14	1.8e-08	3.3e-08
     7	-7.24705e-14	1.8e-08	3.3e-08
     8	-7.38508e-14	1.8e-08	3.3e-08
     9	-7.54203e-14	1.8e-08	3.3e-08
    10	-7.72902e-14	1.8e-08	3.3e-08
    11	-7.95729e-14	1.8e-08	3.3e-08
    12	-7.33844e-14	1.8e-08	3.3e-08
    13	-7.43276e-14	1.8e-08	3.3e-08
    14	-9.07276e-14	1.8e-08	3.3e-08
    15	-9.79268e-14	1.8e-08	3.3e-08
    16	-1.09943e-13	1.8e-08	3.3e-08
    17	-1.36686e-13	1.8e-08	3.3e-08
