Measurement: energia2
  step	INTEG(v(supply)*i(V1))	FROM	TO
     1	-3.70155e-14	1.8e-08	3.3e-08
     2	-3.65466e-14	1.8e-08	3.3e-08
     3	-3.91394e-14	1.8e-08	3.3e-08
     4	-4.41823e-14	1.8e-08	3.3e-08
     5	-4.20898e-14	1.8e-08	3.3e-08
     6	-3.55389e-14	1.8e-08	3.3e-08
     7	-1.01004e-13	1.8e-08	3.3e-08
     8	-3.94254e-14	1.8e-08	3.3e-08
     9	-4.40717e-14	1.8e-08	3.3e-08
    10	-9.8452e-14	1.8e-08	3.3e-08
    11	-4.77059e-14	1.8e-08	3.3e-08
    12	-9.6946e-14	1.8e-08	3.3e-08
    13	-9.5958e-14	1.8e-08	3.3e-08
