Measurement: energia2
  step	INTEG(v(supply)*i(V1))	FROM	TO
     1	-7.28918e-14	1.8e-08	3.3e-08
     2	-1.45548e-13	1.8e-08	3.3e-08
     3	-1.9566e-13	1.8e-08	3.3e-08
     4	-1.67666e-13	1.8e-08	3.3e-08
     5	-7.62949e-14	1.8e-08	3.3e-08
     6	-2.20241e-13	1.8e-08	3.3e-08
     7	-7.01564e-14	1.8e-08	3.3e-08
     8	-1.51746e-13	1.8e-08	3.3e-08
     9	-1.21255e-13	1.8e-08	3.3e-08
    10	-1.90241e-13	1.8e-08	3.3e-08
    11	-2.05074e-13	1.8e-08	3.3e-08
    12	-1.33059e-13	1.8e-08	3.3e-08
    13	-1.99436e-13	1.8e-08	3.3e-08
    14	-2.38879e-13	1.8e-08	3.3e-08
    15	-9.45241e-14	1.8e-08	3.3e-08
    16	-1.06846e-13	1.8e-08	3.3e-08
    17	-8.19757e-14	1.8e-08	3.3e-08
    18	-1.51606e-13	1.8e-08	3.3e-08
    19	-1.23637e-13	1.8e-08	3.3e-08
    20	-1.36663e-13	1.8e-08	3.3e-08
    21	-1.452e-13	1.8e-08	3.3e-08
    22	-1.40376e-13	1.8e-08	3.3e-08
    23	-1.27396e-13	1.8e-08	3.3e-08
    24	-1.71294e-13	1.8e-08	3.3e-08
    25	-1.28493e-13	1.8e-08	3.3e-08
    26	-9.41762e-14	1.8e-08	3.3e-08
    27	-1.59894e-13	1.8e-08	3.3e-08
    28	-2.21312e-13	1.8e-08	3.3e-08
    29	-1.89828e-13	1.8e-08	3.3e-08
    30	-1.85991e-13	1.8e-08	3.3e-08
    31	-1.68556e-13	1.8e-08	3.3e-08
    32	-1.70071e-13	1.8e-08	3.3e-08
    33	-7.92614e-14	1.8e-08	3.3e-08
    34	-1.38835e-13	1.8e-08	3.3e-08
    35	-2.26185e-13	1.8e-08	3.3e-08
    36	-1.24887e-13	1.8e-08	3.3e-08
    37	-1.20308e-13	1.8e-08	3.3e-08
    38	-1.74359e-13	1.8e-08	3.3e-08
    39	-1.88929e-13	1.8e-08	3.3e-08
    40	-8.54401e-14	1.8e-08	3.3e-08
    41	-1.30988e-13	1.8e-08	3.3e-08
    42	-1.54069e-13	1.8e-08	3.3e-08
    43	-8.50793e-14	1.8e-08	3.3e-08
    44	-9.76408e-14	1.8e-08	3.3e-08
    45	-1.96485e-13	1.8e-08	3.3e-08
    46	-9.09027e-14	1.8e-08	3.3e-08
    47	-1.96129e-13	1.8e-08	3.3e-08
    48	-1.53489e-13	1.8e-08	3.3e-08
    49	-1.80428e-13	1.8e-08	3.3e-08
    50	-1.16303e-13	1.8e-08	3.3e-08
    51	-1.16748e-13	1.8e-08	3.3e-08
    52	-1.49708e-13	1.8e-08	3.3e-08
    53	-1.77777e-13	1.8e-08	3.3e-08
    54	-9.87704e-14	1.8e-08	3.3e-08
    55	-8.1326e-14	1.8e-08	3.3e-08
    56	-2.70491e-13	1.8e-08	3.3e-08
    57	-9.82399e-14	1.8e-08	3.3e-08
    58	-1.56142e-13	1.8e-08	3.3e-08
    59	-1.51817e-13	1.8e-08	3.3e-08
    60	-1.58824e-13	1.8e-08	3.3e-08
    61	-9.24712e-14	1.8e-08	3.3e-08
    62	-9.02359e-14	1.8e-08	3.3e-08
    63	-1.41986e-13	1.8e-08	3.3e-08
    64	-1.76007e-13	1.8e-08	3.3e-08
    65	-1.92024e-13	1.8e-08	3.3e-08
    66	-2.0812e-13	1.8e-08	3.3e-08
    67	-1.74306e-13	1.8e-08	3.3e-08
    68	-9.78626e-14	1.8e-08	3.3e-08
    69	-2.00971e-13	1.8e-08	3.3e-08
    70	-7.22474e-14	1.8e-08	3.3e-08
    71	-1.38173e-13	1.8e-08	3.3e-08
    72	-1.26727e-13	1.8e-08	3.3e-08
    73	-1.6843e-13	1.8e-08	3.3e-08
    74	-2.04508e-13	1.8e-08	3.3e-08
    75	-7.65133e-14	1.8e-08	3.3e-08
    76	-1.63019e-13	1.8e-08	3.3e-08
    77	-1.53071e-13	1.8e-08	3.3e-08
    78	-8.96018e-14	1.8e-08	3.3e-08
    79	-1.61046e-13	1.8e-08	3.3e-08
    80	-1.38922e-13	1.8e-08	3.3e-08
    81	-1.64355e-13	1.8e-08	3.3e-08
    82	-7.62914e-14	1.8e-08	3.3e-08
    83	-1.95284e-13	1.8e-08	3.3e-08
    84	-1.19848e-13	1.8e-08	3.3e-08
    85	-2.17455e-13	1.8e-08	3.3e-08
    86	-8.71143e-14	1.8e-08	3.3e-08
    87	-7.07756e-14	1.8e-08	3.3e-08
    88	-8.97425e-14	1.8e-08	3.3e-08
    89	-1.80473e-13	1.8e-08	3.3e-08
    90	-1.7036e-13	1.8e-08	3.3e-08
    91	-8.8291e-14	1.8e-08	3.3e-08
    92	-1.14998e-13	1.8e-08	3.3e-08
    93	-1.39258e-13	1.8e-08	3.3e-08
    94	-8.58973e-14	1.8e-08	3.3e-08
    95	-9.04374e-14	1.8e-08	3.3e-08
    96	-1.39072e-13	1.8e-08	3.3e-08
    97	-9.79135e-14	1.8e-08	3.3e-08
    98	-1.06019e-13	1.8e-08	3.3e-08
    99	-1.76652e-13	1.8e-08	3.3e-08
   100	-1.00798e-13	1.8e-08	3.3e-08
   101	-1.5213e-13	1.8e-08	3.3e-08
   102	-1.34353e-13	1.8e-08	3.3e-08
   103	-2.0459e-13	1.8e-08	3.3e-08
