Measurement: ritardo_fall
  step	ritardo_fall	FROM	TO
     1	6.96479e-12	1.0005e-08	1.0012e-08
     2	7.20081e-12	1.0005e-08	1.00122e-08
     3	7.42483e-12	1.0005e-08	1.00124e-08
     4	7.64115e-12	1.0005e-08	1.00126e-08
     5	7.88923e-12	1.0005e-08	1.00129e-08
     6	8.23174e-12	1.0005e-08	1.00132e-08
     7	8.5438e-12	1.0005e-08	1.00135e-08
     8	8.83168e-12	1.0005e-08	1.00138e-08
     9	9.09982e-12	1.0005e-08	1.00141e-08
    10	9.35373e-12	1.0005e-08	1.00144e-08
    11	9.59547e-12	1.0005e-08	1.00146e-08
    12	9.82777e-12	1.0005e-08	1.00148e-08
    13	1.00527e-11	1.0005e-08	1.00151e-08
    14	1.02718e-11	1.0005e-08	1.00153e-08
    15	1.04861e-11	1.0005e-08	1.00155e-08
    16	1.06962e-11	1.0005e-08	1.00157e-08
    17	1.09025e-11	1.0005e-08	1.00159e-08
    18	1.11979e-11	1.0005e-08	1.00162e-08
    19	1.15584e-11	1.0005e-08	1.00166e-08
    20	1.18956e-11	1.0005e-08	1.00169e-08
    21	1.22123e-11	1.0005e-08	1.00172e-08
    22	1.2511e-11	1.0005e-08	1.00175e-08
    23	1.2794e-11	1.0005e-08	1.00178e-08
    24	1.30631e-11	1.0005e-08	1.00181e-08
    25	1.33202e-11	1.0005e-08	1.00183e-08
