Measurement: ritardo_rise
  step	ritardo_rise	FROM	TO
     1	9.36834e-12	2.0015e-08	2.00244e-08
     2	9.09711e-12	2.0015e-08	2.00241e-08
     3	8.86007e-12	2.0015e-08	2.00239e-08
     4	8.64799e-12	2.0015e-08	2.00236e-08
     5	8.45739e-12	2.0015e-08	2.00235e-08
     6	8.28371e-12	2.0015e-08	2.00233e-08
     7	8.12476e-12	2.0015e-08	2.00231e-08
     8	7.97834e-12	2.0015e-08	2.0023e-08
     9	7.84285e-12	2.0015e-08	2.00228e-08
    10	7.75389e-12	2.0015e-08	2.00228e-08
    11	7.69009e-12	2.0015e-08	2.00227e-08
    12	7.63177e-12	2.0015e-08	2.00226e-08
    13	7.57821e-12	2.0015e-08	2.00226e-08
    14	7.5288e-12	2.0015e-08	2.00225e-08
    15	7.48305e-12	2.0015e-08	2.00225e-08
    16	7.44051e-12	2.0015e-08	2.00224e-08
    17	7.40084e-12	2.0015e-08	2.00224e-08
    18	7.36373e-12	2.0015e-08	2.00224e-08
    19	7.3289e-12	2.0015e-08	2.00223e-08
    20	7.29614e-12	2.0015e-08	2.00223e-08
    21	7.26522e-12	2.0015e-08	2.00223e-08
    22	7.23599e-12	2.0015e-08	2.00222e-08
    23	7.20829e-12	2.0015e-08	2.00222e-08
    24	7.18198e-12	2.0015e-08	2.00222e-08
    25	7.15694e-12	2.0015e-08	2.00222e-08
